xefofo4412.dat PARSEC 0.0458372   0.00807741     0.375939     0.157957     -1.20748     0.037583   -0.0156907      6.86682  1.02224e-05  0.000230291      17.1029      17.8025 [200 panels, half cosine x-spacing]
         1   0.0002354                                                                                                                                                                                            
   0.99975  0.00035572                                                                                                                                                                                            
   0.99901  0.00071614                                                                                                                                                                                            
   0.99778    0.001315                                                                                                                                                                                            
   0.99606   0.0021497                                                                                                                                                                                            
   0.99384   0.0032165                                                                                                                                                                                            
   0.99114   0.0045106                                                                                                                                                                                            
   0.98796   0.0060266                                                                                                                                                                                            
   0.98429   0.0077577                                                                                                                                                                                            
   0.98015   0.0096969                                                                                                                                                                                            
   0.97553    0.011836                                                                                                                                                                                            
   0.97044    0.014167                                                                                                                                                                                            
   0.96489     0.01668                                                                                                                                                                                            
   0.95888    0.019365                                                                                                                                                                                            
   0.95241    0.022213                                                                                                                                                                                            
    0.9455    0.025214                                                                                                                                                                                            
   0.93815    0.028356                                                                                                                                                                                            
   0.93037     0.03163                                                                                                                                                                                            
   0.92216    0.035025                                                                                                                                                                                            
   0.91354    0.038531                                                                                                                                                                                            
   0.90451    0.042136                                                                                                                                                                                            
   0.89508    0.045832                                                                                                                                                                                            
   0.88526    0.049607                                                                                                                                                                                            
   0.87506    0.053452                                                                                                                                                                                            
   0.86448    0.057357                                                                                                                                                                                            
   0.85355    0.061312                                                                                                                                                                                            
   0.84227    0.065309                                                                                                                                                                                            
   0.83066    0.069338                                                                                                                                                                                            
   0.81871     0.07339                                                                                                                                                                                            
   0.80645    0.077456                                                                                                                                                                                            
   0.79389    0.081528                                                                                                                                                                                            
   0.78104    0.085598                                                                                                                                                                                            
   0.76791    0.089655                                                                                                                                                                                            
   0.75452    0.093692                                                                                                                                                                                            
   0.74088    0.097699                                                                                                                                                                                            
     0.727     0.10167                                                                                                                                                                                            
   0.71289     0.10559                                                                                                                                                                                            
   0.69857     0.10945                                                                                                                                                                                            
   0.68406     0.11325                                                                                                                                                                                            
   0.66937     0.11697                                                                                                                                                                                            
   0.65451      0.1206                                                                                                                                                                                            
    0.6395     0.12413                                                                                                                                                                                            
   0.62434     0.12755                                                                                                                                                                                            
   0.60907     0.13085                                                                                                                                                                                            
   0.59369     0.13402                                                                                                                                                                                            
   0.57822     0.13704                                                                                                                                                                                            
   0.56267     0.13991                                                                                                                                                                                            
   0.54705     0.14261                                                                                                                                                                                            
    0.5314     0.14512                                                                                                                                                                                            
   0.51571     0.14745                                                                                                                                                                                            
       0.5     0.14957                                                                                                                                                                                            
   0.48429     0.15148                                                                                                                                                                                            
    0.4686     0.15316                                                                                                                                                                                            
   0.45295      0.1546                                                                                                                                                                                            
   0.43733     0.15579                                                                                                                                                                                            
   0.42178     0.15674                                                                                                                                                                                            
   0.40631     0.15741                                                                                                                                                                                            
   0.39093     0.15782                                                                                                                                                                                            
   0.37566     0.15796                                                                                                                                                                                            
    0.3605     0.15781                                                                                                                                                                                            
   0.34549     0.15738                                                                                                                                                                                            
   0.33063     0.15667                                                                                                                                                                                            
   0.31594     0.15567                                                                                                                                                                                            
   0.30143     0.15439                                                                                                                                                                                            
   0.28711     0.15283                                                                                                                                                                                            
     0.273       0.151                                                                                                                                                                                            
   0.25912     0.14889                                                                                                                                                                                            
   0.24548     0.14652                                                                                                                                                                                            
   0.23209     0.14389                                                                                                                                                                                            
   0.21896     0.14102                                                                                                                                                                                            
   0.20611     0.13791                                                                                                                                                                                            
   0.19355     0.13459                                                                                                                                                                                            
   0.18129     0.13105                                                                                                                                                                                            
   0.16934     0.12732                                                                                                                                                                                            
   0.15773     0.12341                                                                                                                                                                                            
   0.14645     0.11933                                                                                                                                                                                            
   0.13552      0.1151                                                                                                                                                                                            
   0.12494     0.11074                                                                                                                                                                                            
   0.11474     0.10626                                                                                                                                                                                            
   0.10492     0.10167                                                                                                                                                                                            
  0.095492    0.096995                                                                                                                                                                                            
   0.08646    0.092247                                                                                                                                                                                            
  0.077836    0.087438                                                                                                                                                                                            
  0.069629    0.082581                                                                                                                                                                                            
  0.061847     0.07769                                                                                                                                                                                            
  0.054497    0.072774                                                                                                                                                                                            
  0.047586    0.067844                                                                                                                                                                                            
  0.041123    0.062909                                                                                                                                                                                            
  0.035112    0.057976                                                                                                                                                                                            
   0.02956    0.053051                                                                                                                                                                                            
  0.024472    0.048139                                                                                                                                                                                            
  0.019853    0.043244                                                                                                                                                                                            
  0.015708    0.038369                                                                                                                                                                                            
  0.012042    0.033514                                                                                                                                                                                            
 0.0088564     0.02868                                                                                                                                                                                            
 0.0061558    0.023865                                                                                                                                                                                            
 0.0039426    0.019068                                                                                                                                                                                            
  0.002219    0.014287                                                                                                                                                                                            
0.00098664   0.0095177                                                                                                                                                                                            
0.00024672   0.0047567                                                                                                                                                                                            
         0           0                                                                                                                                                                                            
0.00024672   -0.001991                                                                                                                                                                                            
0.00098664  -0.0039494                                                                                                                                                                                            
  0.002219  -0.0058431                                                                                                                                                                                            
 0.0039426  -0.0076411                                                                                                                                                                                            
 0.0061558  -0.0093145                                                                                                                                                                                            
 0.0088564   -0.010836                                                                                                                                                                                            
  0.012042   -0.012182                                                                                                                                                                                            
  0.015708   -0.013332                                                                                                                                                                                            
  0.019853   -0.014267                                                                                                                                                                                            
  0.024472   -0.014974                                                                                                                                                                                            
   0.02956   -0.015443                                                                                                                                                                                            
  0.035112   -0.015669                                                                                                                                                                                            
  0.041123    -0.01565                                                                                                                                                                                            
  0.047586   -0.015387                                                                                                                                                                                            
  0.054497   -0.014888                                                                                                                                                                                            
